country,parameter,mode,powertrain,year,unit,value
Brazil,EV stock,Cars,PHEV,2017,Vehicles,360
Finland,EV stock,Cars,BEV,2014,Vehicles,360
France,EV stock,Vans,PHEV,2013,Vehicles,360
Israel,EV stock,2 and 3 wheelers,BEV,2013,Vehicles,360
Switzerland,EV stock,Trucks,BEV,2022,Vehicles,360
Austria,EV stock,Cars,BEV,2010,Vehicles,350
Belgium,EV stock,Cars,PHEV,2012,Vehicles,350
Brazil,EV stock,Cars,BEV,2018,Vehicles,350
Costa Rica,EV stock,Cars,PHEV,2021,Vehicles,350
Denmark,EV stock,Vans,BEV,2014,Vehicles,350
Spain,EV stock,Buses,BEV,2021,Vehicles,350
Sweden,EV stock,Buses,BEV,2020,Vehicles,350
Switzerland,EV stock,Vans,PHEV,2024,Vehicles,350
United Kingdom,EV stock,Trucks,BEV,2017,Vehicles,350
Africa,EV stock,Cars,BEV,2017,Vehicles,340
China,EV stock,Buses,FCEV,2017,Vehicles,340
China,EV stock,Cars,PHEV,2010,Vehicles,340
France,EV stock,Buses,BEV,2018,Vehicles,340
Malaysia,EV stock,2 and 3 wheelers,BEV,2013,Vehicles,340
Norway,EV stock,Cars,PHEV,2012,Vehicles,340
Korea,EV stock,Cars,BEV,2011,Vehicles,340
Spain,EV stock,Vans,PHEV,2024,Vehicles,340
USA,EV stock,Buses,FCEV,2023,Vehicles,340
United Kingdom,EV stock,Trucks,BEV,2019,Vehicles,340
Belgium,EV stock,Vans,BEV,2012,Vehicles,330
Canada,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,330
Germany,EV stock,Buses,FCEV,2024,Vehicles,330
New Zealand,EV stock,2 and 3 wheelers,BEV,2018,Vehicles,330
Portugal,EV stock,Vans,BEV,2018,Vehicles,330
South Africa,EV stock,Cars,BEV,2017,Vehicles,330
Korea,EV stock,Vans,BEV,2018,Vehicles,330
Belgium,EV stock,Cars,BEV,2011,Vehicles,320
Brazil,EV stock,Cars,BEV,2017,Vehicles,320
Canada,EV stock,Cars,FCEV,2023,Vehicles,320
Canada,EV stock,Cars,FCEV,2024,Vehicles,320
Greece,EV stock,2 and 3 wheelers,BEV,2019,Vehicles,320
Mexico,EV stock,2 and 3 wheelers,BEV,2012,Vehicles,320
Norway,EV stock,2 and 3 wheelers,BEV,2015,Vehicles,320
Thailand,EV stock,Cars,PHEV,2015,Vehicles,320
Thailand,EV stock,Cars,PHEV,2016,Vehicles,320
Thailand,EV stock,Cars,PHEV,2017,Vehicles,320
United Kingdom,EV stock,Trucks,BEV,2018,Vehicles,320
United Kingdom,EV stock,Trucks,BEV,2020,Vehicles,320
Denmark,EV stock,Buses,BEV,2021,Vehicles,310
Denmark,EV stock,Vans,BEV,2013,Vehicles,310
Finland,EV stock,Vans,BEV,2019,Vehicles,310
Germany,EV stock,Cars,FCEV,2017,Vehicles,310
Norway,EV stock,Vans,PHEV,2021,Vehicles,310
USA,EV stock,Buses,BEV,2015,Vehicles,310
Canada,EV stock,Cars,FCEV,2022,Vehicles,300
Canada,EV stock,Cars,PHEV,2011,Vehicles,300
Finland,EV stock,Cars,PHEV,2013,Vehicles,300
France,EV stock,Buses,BEV,2017,Vehicles,300
France,EV stock,Vans,PHEV,2012,Vehicles,300
France,EV stock,Cars,BEV,2010,Vehicles,300
Israel,EV stock,Vans,BEV,2023,Vehicles,300
United Kingdom,EV stock,Buses,BEV,2017,Vehicles,300
Chile,EV stock,Cars,PHEV,2020,Vehicles,290
Finland,EV stock,Vans,PHEV,2023,Vehicles,290
France,EV stock,Vans,FCEV,2021,Vehicles,290
France,EV stock,Vans,FCEV,2023,Vehicles,290
Norway,EV stock,Cars,FCEV,2023,Vehicles,290
Sweden,EV stock,Trucks,BEV,2022,Vehicles,290
Switzerland,EV stock,Vans,BEV,2014,Vehicles,290
Belgium,EV stock,Buses,PHEV,2024,Vehicles,280
Canada,EV stock,2 and 3 wheelers,BEV,2019,Vehicles,280
Chile,EV stock,Cars,BEV,2018,Vehicles,280
Germany,EV stock,Trucks,BEV,2018,Vehicles,280
Greece,EV stock,Cars,BEV,2018,Vehicles,280
New Zealand,EV stock,2 and 3 wheelers,BEV,2017,Vehicles,280
Korea,EV stock,Buses,FCEV,2022,Vehicles,280
Turkiye,EV stock,Cars,PHEV,2018,Vehicles,280
Africa,EV stock,Trucks,BEV,2024,Vehicles,270
Canada,EV stock,Buses,BEV,2020,Vehicles,270
Costa Rica,EV stock,2 and 3 wheelers,BEV,2017,Vehicles,270
Finland,EV stock,Buses,BEV,2021,Vehicles,270
France,EV stock,Vans,FCEV,2018,Vehicles,270
France,EV stock,Vans,FCEV,2019,Vehicles,270
France,EV stock,Vans,FCEV,2020,Vehicles,270
France,EV stock,Vans,FCEV,2022,Vehicles,270
Malaysia,EV stock,2 and 3 wheelers,BEV,2011,Vehicles,270
Malaysia,EV stock,2 and 3 wheelers,BEV,2012,Vehicles,270
Netherlands,EV stock,Cars,BEV,2010,Vehicles,270
Netherlands,EV stock,Trucks,BEV,2021,Vehicles,270
South Africa,EV stock,Trucks,BEV,2024,Vehicles,270
Africa,EV stock,Cars,BEV,2016,Vehicles,260
Costa Rica,EV stock,Cars,BEV,2018,Vehicles,260
Denmark,EV stock,Vans,PHEV,2019,Vehicles,260
Finland,EV stock,Vans,BEV,2018,Vehicles,260
Finland,EV stock,Vans,PHEV,2022,Vehicles,260
France,EV stock,Vans,PHEV,2011,Vehicles,260
New Zealand,EV stock,Buses,BEV,2022,Vehicles,260
Norway,EV stock,Cars,FCEV,2022,Vehicles,260
South Africa,EV stock,Cars,BEV,2016,Vehicles,260
Turkiye,EV stock,Cars,BEV,2014,Vehicles,260
United Kingdom,EV stock,Buses,BEV,2016,Vehicles,260
United Kingdom,EV stock,Cars,FCEV,2023,Vehicles,260
United Kingdom,EV stock,Cars,FCEV,2024,Vehicles,260
Africa,EV stock,Vans,BEV,2020,Vehicles,250
Brazil,EV stock,Cars,BEV,2016,Vehicles,250
Canada,EV stock,Cars,BEV,2011,Vehicles,250
Canada,EV stock,Cars,FCEV,2021,Vehicles,250
France,EV stock,Buses,BEV,2016,Vehicles,250
Germany,EV stock,Cars,BEV,2010,Vehicles,250
Netherlands,EV stock,Buses,BEV,2017,Vehicles,250
Portugal,EV stock,Buses,BEV,2022,Vehicles,250
South Africa,EV stock,Vans,BEV,2020,Vehicles,250
Korea,EV stock,Cars,PHEV,2015,Vehicles,250
Switzerland,EV stock,Cars,FCEV,2024,Vehicles,250
Belgium,EV stock,Vans,PHEV,2022,Vehicles,240
China,EV stock,Cars,FCEV,2022,Vehicles,240
Colombia,EV stock,2 and 3 wheelers,BEV,2015,Vehicles,240
Colombia,EV stock,Cars,BEV,2017,Vehicles,240
Germany,EV stock,Cars,PHEV,2011,Vehicles,240
Iceland,EV stock,Cars,BEV,2014,Vehicles,240
Mexico,EV stock,Cars,BEV,2015,Vehicles,240
New Zealand,EV stock,2 and 3 wheelers,BEV,2016,Vehicles,240
Spain,EV stock,Buses,BEV,2019,Vehicles,240
Spain,EV stock,Buses,BEV,2020,Vehicles,240
Switzerland,EV stock,Cars,FCEV,2023,Vehicles,240
Turkiye,EV stock,Vans,BEV,2023,Vehicles,240
Turkiye,EV stock,Cars,PHEV,2017,Vehicles,240
United Kingdom,EV stock,Buses,FCEV,2024,Vehicles,240
United Kingdom,EV stock,Cars,FCEV,2021,Vehicles,240
Africa,EV stock,Buses,BEV,2024,Vehicles,230
China,EV stock,Vans,PHEV,2021,Vehicles,230
Denmark,EV stock,Vans,PHEV,2018,Vehicles,230
Denmark,EV stock,Cars,FCEV,2021,Vehicles,230
Denmark,EV stock,Cars,FCEV,2022,Vehicles,230
Denmark,EV stock,Cars,FCEV,2023,Vehicles,230
Denmark,EV stock,Cars,FCEV,2024,Vehicles,230
New Zealand,EV stock,2 and 3 wheelers,BEV,2015,Vehicles,230
Norway,EV stock,Cars,FCEV,2021,Vehicles,230
Norway,EV stock,Cars,FCEV,2024,Vehicles,230
Poland,EV stock,Buses,BEV,2019,Vehicles,230
Switzerland,EV stock,Buses,BEV,2022,Vehicles,230
Switzerland,EV stock,Vans,BEV,2013,Vehicles,230
Turkiye,EV stock,Cars,BEV,2013,Vehicles,230
USA,EV stock,Buses,BEV,2014,Vehicles,230
United Kingdom,EV stock,Cars,FCEV,2020,Vehicles,230
Africa,EV stock,Vans,BEV,2016,Vehicles,220
Africa,EV stock,Vans,BEV,2019,Vehicles,220
Australia,EV stock,Cars,BEV,2012,Vehicles,220
Belgium,EV stock,Buses,PHEV,2021,Vehicles,220
Costa Rica,EV stock,Cars,PHEV,2020,Vehicles,220
Denmark,EV stock,Vans,BEV,2012,Vehicles,220
Finland,EV stock,2 and 3 wheelers,BEV,2015,Vehicles,220
Germany,EV stock,Vans,BEV,2010,Vehicles,220
Greece,EV stock,Cars,PHEV,2017,Vehicles,220
Netherlands,EV stock,Trucks,BEV,2019,Vehicles,220
New Zealand,EV stock,Cars,PHEV,2014,Vehicles,220
Norway,EV stock,Trucks,BEV,2022,Vehicles,220
Poland,EV stock,Cars,FCEV,2024,Vehicles,220
South Africa,EV stock,Vans,BEV,2016,Vehicles,220
South Africa,EV stock,Vans,BEV,2019,Vehicles,220
Korea,EV stock,Buses,BEV,2019,Vehicles,220
USA,EV stock,Buses,FCEV,2022,Vehicles,220
United Kingdom,EV stock,Buses,PHEV,2018,Vehicles,220
United Kingdom,EV stock,Buses,PHEV,2019,Vehicles,220
United Kingdom,EV stock,Buses,PHEV,2020,Vehicles,220
United Kingdom,EV stock,Buses,PHEV,2021,Vehicles,220
United Kingdom,EV stock,Buses,PHEV,2022,Vehicles,220
United Kingdom,EV stock,Buses,PHEV,2023,Vehicles,220
United Kingdom,EV stock,Buses,PHEV,2024,Vehicles,220
United Kingdom,EV stock,Vans,PHEV,2017,Vehicles,220
Chile,EV stock,Cars,PHEV,2019,Vehicles,210
Finland,EV stock,Vans,BEV,2017,Vehicles,210
France,EV stock,Vans,PHEV,2010,Vehicles,210
Israel,EV stock,2 and 3 wheelers,BEV,2012,Vehicles,210
Netherlands,EV stock,Cars,FCEV,2019,Vehicles,210
Netherlands,EV stock,Trucks,BEV,2020,Vehicles,210
Poland,EV stock,Cars,FCEV,2023,Vehicles,210
Portugal,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,210
Spain,EV stock,Vans,PHEV,2023,Vehicles,210
Switzerland,EV stock,Cars,FCEV,2022,Vehicles,210
Turkiye,EV stock,2 and 3 wheelers,BEV,2013,Vehicles,210
Turkiye,EV stock,Cars,PHEV,2016,Vehicles,210
USA,EV stock,Buses,BEV,2013,Vehicles,210
USA,EV stock,Vans,FCEV,2024,Vehicles,210
Africa,EV stock,2 and 3 wheelers,BEV,2019,Vehicles,200
Belgium,EV stock,2 and 3 wheelers,BEV,2011,Vehicles,200
Belgium,EV stock,Buses,PHEV,2020,Vehicles,200
Canada,EV stock,2 and 3 wheelers,BEV,2018,Vehicles,200
Costa Rica,EV stock,Cars,PHEV,2019,Vehicles,200
Denmark,EV stock,Vans,PHEV,2017,Vehicles,200
Greece,EV stock,2 and 3 wheelers,BEV,2018,Vehicles,200
Israel,EV stock,Cars,PHEV,2016,Vehicles,200
Norway,EV stock,2 and 3 wheelers,BEV,2014,Vehicles,200
Norway,EV stock,Buses,BEV,2019,Vehicles,200
Norway,EV stock,Cars,FCEV,2020,Vehicles,200
Russia,EV stock,Cars,BEV,2015,Vehicles,200
Spain,EV stock,Vans,PHEV,2022,Vehicles,200
Spain,EV stock,Trucks,BEV,2022,Vehicles,200
Sweden,EV stock,2 and 3 wheelers,BEV,2017,Vehicles,200
USA,EV stock,Buses,BEV,2012,Vehicles,200
United Kingdom,EV stock,Buses,BEV,2015,Vehicles,200
Africa,EV stock,Buses,BEV,2023,Vehicles,190
Belgium,EV stock,Buses,PHEV,2023,Vehicles,190
Belgium,EV stock,Vans,PHEV,2023,Vehicles,190
France,EV stock,Buses,BEV,2015,Vehicles,190
Germany,EV stock,Vans,PHEV,2020,Vehicles,190
Greece,EV stock,Cars,BEV,2017,Vehicles,190
New Zealand,EV stock,Cars,BEV,2014,Vehicles,190
Portugal,EV stock,2 and 3 wheelers,BEV,2019,Vehicles,190
Spain,EV stock,Cars,PHEV,2013,Vehicles,190
Sweden,EV stock,Buses,BEV,2019,Vehicles,190
Switzerland,EV stock,Vans,PHEV,2022,Vehicles,190
Switzerland,EV stock,Vans,PHEV,2023,Vehicles,190
Thailand,EV stock,Cars,BEV,2018,Vehicles,190
USA,EV stock,Buses,BEV,2011,Vehicles,190
USA,EV stock,Vans,BEV,2011,Vehicles,190
United Kingdom,EV stock,Cars,FCEV,2022,Vehicles,190
Australia,EV stock,Cars,PHEV,2013,Vehicles,180
Belgium,EV stock,Buses,PHEV,2022,Vehicles,180
Denmark,EV stock,Vans,PHEV,2016,Vehicles,180
Finland,EV stock,Vans,PHEV,2021,Vehicles,180
France,EV stock,Vans,FCEV,2017,Vehicles,180
India,EV stock,Vans,BEV,2016,Vehicles,180
Italy,EV stock,Cars,PHEV,2013,Vehicles,180
New Zealand,EV stock,2 and 3 wheelers,BEV,2014,Vehicles,180
Norway,EV stock,Cars,FCEV,2019,Vehicles,180
Sweden,EV stock,Cars,BEV,2011,Vehicles,180
Switzerland,EV stock,Vans,PHEV,2021,Vehicles,180
United Kingdom,EV stock,Vans,PHEV,2016,Vehicles,180
Africa,EV stock,Vans,BEV,2017,Vehicles,170
Brazil,EV stock,Vans,BEV,2021,Vehicles,170
Chile,EV stock,Cars,BEV,2017,Vehicles,170
Costa Rica,EV stock,Cars,PHEV,2018,Vehicles,170
Finland,EV stock,Cars,BEV,2013,Vehicles,170
Finland,EV stock,Trucks,BEV,2024,Vehicles,170
Greece,EV stock,2 and 3 wheelers,BEV,2017,Vehicles,170
Netherlands,EV stock,Buses,BEV,2016,Vehicles,170
New Zealand,EV stock,2 and 3 wheelers,BEV,2013,Vehicles,170
New Zealand,EV stock,Buses,BEV,2021,Vehicles,170
South Africa,EV stock,Vans,BEV,2017,Vehicles,170
United Kingdom,EV stock,Buses,BEV,2014,Vehicles,170
United Kingdom,EV stock,Buses,FCEV,2023,Vehicles,170
United Kingdom,EV stock,Cars,FCEV,2019,Vehicles,170
Viet Nam,EV stock,Cars,PHEV,2024,Vehicles,170
Africa,EV stock,Cars,BEV,2015,Vehicles,160
Belgium,EV stock,Buses,PHEV,2019,Vehicles,160
China,EV stock,Buses,PHEV,2011,Vehicles,160
Germany,EV stock,Buses,BEV,2018,Vehicles,160
Germany,EV stock,Buses,FCEV,2023,Vehicles,160
Malaysia,EV stock,Vans,BEV,2024,Vehicles,160
Netherlands,EV stock,Vans,BEV,2011,Vehicles,160
Netherlands,EV stock,Vans,PHEV,2023,Vehicles,160
New Zealand,EV stock,2 and 3 wheelers,BEV,2012,Vehicles,160
Poland,EV stock,Buses,BEV,2018,Vehicles,160
South Africa,EV stock,Cars,BEV,2015,Vehicles,160
Sweden,EV stock,Vans,PHEV,2021,Vehicles,160
USA,EV stock,Cars,FCEV,2015,Vehicles,160
Belgium,EV stock,Buses,BEV,2022,Vehicles,150
Canada,EV stock,2 and 3 wheelers,BEV,2017,Vehicles,150
Denmark,EV stock,Cars,FCEV,2020,Vehicles,150
France,EV stock,Buses,BEV,2014,Vehicles,150
France,EV stock,Vans,FCEV,2016,Vehicles,150
Israel,EV stock,Buses,BEV,2021,Vehicles,150
Japan,EV stock,Trucks,BEV,2023,Vehicles,150
Mexico,EV stock,Cars,BEV,2014,Vehicles,150
New Zealand,EV stock,2 and 3 wheelers,BEV,2011,Vehicles,150
New Zealand,EV stock,Vans,PHEV,2024,Vehicles,150
Norway,EV stock,2 and 3 wheelers,BEV,2013,Vehicles,150
United Kingdom,EV stock,Buses,PHEV,2017,Vehicles,150
Austria,EV stock,Cars,PHEV,2012,Vehicles,140
Belgium,EV stock,Buses,PHEV,2018,Vehicles,140
Colombia,EV stock,Cars,BEV,2016,Vehicles,140
Finland,EV stock,2 and 3 wheelers,BEV,2014,Vehicles,140
Finland,EV stock,Vans,PHEV,2024,Vehicles,140
Germany,EV stock,Buses,BEV,2017,Vehicles,140
Germany,EV stock,Buses,PHEV,2023,Vehicles,140
Germany,EV stock,Buses,PHEV,2024,Vehicles,140
Germany,EV stock,Trucks,FCEV,2024,Vehicles,140
Greece,EV stock,2 and 3 wheelers,BEV,2016,Vehicles,140
Greece,EV stock,Cars,BEV,2016,Vehicles,140
Iceland,EV stock,Cars,PHEV,2015,Vehicles,140
Indonesia,EV stock,Cars,PHEV,2022,Vehicles,140
Israel,EV stock,Cars,PHEV,2015,Vehicles,140
Malaysia,EV stock,Cars,BEV,2020,Vehicles,140
New Zealand,EV stock,2 and 3 wheelers,BEV,2010,Vehicles,140
Sweden,EV stock,Trucks,BEV,2021,Vehicles,140
Switzerland,EV stock,Cars,FCEV,2021,Vehicles,140
United Kingdom,EV stock,Buses,PHEV,2016,Vehicles,140
Africa,EV stock,Vans,BEV,2015,Vehicles,130
Africa,EV stock,Vans,BEV,2018,Vehicles,130
Belgium,EV stock,Buses,PHEV,2017,Vehicles,130
Canada,EV stock,Cars,FCEV,2020,Vehicles,130
Chile,EV stock,Cars,PHEV,2018,Vehicles,130
Finland,EV stock,Cars,PHEV,2012,Vehicles,130
Germany,EV stock,Buses,PHEV,2020,Vehicles,130
Germany,EV stock,Buses,PHEV,2021,Vehicles,130
Germany,EV stock,Buses,PHEV,2022,Vehicles,130
Netherlands,EV stock,Vans,PHEV,2022,Vehicles,130
Poland,EV stock,Cars,FCEV,2022,Vehicles,130
South Africa,EV stock,Vans,BEV,2015,Vehicles,130
South Africa,EV stock,Vans,BEV,2018,Vehicles,130
Korea,EV stock,Buses,FCEV,2021,Vehicles,130
Korea,EV stock,Vans,FCEV,2024,Vehicles,130
Spain,EV stock,Buses,BEV,2018,Vehicles,130
Sweden,EV stock,2 and 3 wheelers,BEV,2016,Vehicles,130
Africa,EV stock,Vans,BEV,2021,Vehicles,120
Africa,EV stock,Cars,PHEV,2015,Vehicles,120
Brazil,EV stock,Cars,BEV,2015,Vehicles,120
China,EV stock,Trucks,BEV,2011,Vehicles,120
Colombia,EV stock,Cars,BEV,2015,Vehicles,120
Costa Rica,EV stock,Cars,PHEV,2017,Vehicles,120
France,EV stock,Buses,BEV,2013,Vehicles,120
Germany,EV stock,Buses,PHEV,2016,Vehicles,120
Germany,EV stock,Buses,PHEV,2017,Vehicles,120
Germany,EV stock,Buses,PHEV,2018,Vehicles,120
Germany,EV stock,Buses,PHEV,2019,Vehicles,120
India,EV stock,Cars,PHEV,2022,Vehicles,120
Israel,EV stock,Buses,BEV,2020,Vehicles,120
Israel,EV stock,Vans,BEV,2022,Vehicles,120
Netherlands,EV stock,Trucks,BEV,2018,Vehicles,120
Netherlands,EV stock,Trucks,PHEV,2024,Vehicles,120
New Zealand,EV stock,Buses,BEV,2020,Vehicles,120
Norway,EV stock,Cars,FCEV,2018,Vehicles,120
Poland,EV stock,Vans,BEV,2018,Vehicles,120
South Africa,EV stock,Cars,PHEV,2015,Vehicles,120
Spain,EV stock,Cars,PHEV,2012,Vehicles,120
Switzerland,EV stock,Vans,BEV,2012,Vehicles,120
United Kingdom,EV stock,Buses,BEV,2013,Vehicles,120
Belgium,EV stock,2 and 3 wheelers,BEV,2010,Vehicles,110
Belgium,EV stock,Buses,PHEV,2016,Vehicles,110
Belgium,EV stock,Vans,PHEV,2021,Vehicles,110
Finland,EV stock,Vans,PHEV,2020,Vehicles,110
Finland,EV stock,Cars,BEV,2012,Vehicles,110
Finland,EV stock,Trucks,BEV,2023,Vehicles,110
Germany,EV stock,Buses,BEV,2016,Vehicles,110
Greece,EV stock,2 and 3 wheelers,BEV,2015,Vehicles,110
Iceland,EV stock,Cars,BEV,2013,Vehicles,110
Italy,EV stock,Buses,BEV,2018,Vehicles,110
Netherlands,EV stock,Buses,PHEV,2019,Vehicles,110
Netherlands,EV stock,Buses,PHEV,2020,Vehicles,110
Russia,EV stock,Cars,PHEV,2017,Vehicles,110
Switzerland,EV stock,Buses,BEV,2021,Vehicles,110
Australia,EV stock,Cars,FCEV,2022,Vehicles,100
Belgium,EV stock,Buses,BEV,2021,Vehicles,100
Belgium,EV stock,Cars,FCEV,2024,Vehicles,100
Denmark,EV stock,Vans,PHEV,2015,Vehicles,100
Denmark,EV stock,Cars,FCEV,2019,Vehicles,100
Denmark,EV stock,Cars,PHEV,2014,Vehicles,100
India,EV stock,Buses,BEV,2015,Vehicles,100
India,EV stock,Buses,BEV,2016,Vehicles,100
India,EV stock,Buses,BEV,2017,Vehicles,100
India,EV stock,Buses,BEV,2018,Vehicles,100
India,EV stock,Buses,FCEV,2023,Vehicles,100
India,EV stock,Buses,FCEV,2024,Vehicles,100
India,EV stock,Cars,PHEV,2021,Vehicles,100
Japan,EV stock,Vans,FCEV,2024,Vehicles,100
Mexico,EV stock,Cars,BEV,2013,Vehicles,100
Netherlands,EV stock,Buses,PHEV,2021,Vehicles,100
Netherlands,EV stock,Buses,PHEV,2022,Vehicles,100
Netherlands,EV stock,Buses,PHEV,2023,Vehicles,100
Netherlands,EV stock,Trucks,BEV,2017,Vehicles,100
New Zealand,EV stock,Buses,BEV,2019,Vehicles,100
Poland,EV stock,2 and 3 wheelers,BEV,2016,Vehicles,100
Portugal,EV stock,2 and 3 wheelers,BEV,2018,Vehicles,100
Portugal,EV stock,Buses,BEV,2021,Vehicles,100
Russia,EV stock,Buses,BEV,2019,Vehicles,100
Korea,EV stock,Buses,BEV,2018,Vehicles,100
Korea,EV stock,Cars,FCEV,2017,Vehicles,100
Spain,EV stock,Buses,BEV,2017,Vehicles,100
Spain,EV stock,Buses,PHEV,2021,Vehicles,100
Spain,EV stock,Buses,PHEV,2022,Vehicles,100
United Kingdom,EV stock,Buses,BEV,2012,Vehicles,100
United Kingdom,EV stock,Vans,PHEV,2015,Vehicles,100
Belgium,EV stock,Cars,FCEV,2023,Vehicles,99
Denmark,EV stock,Trucks,BEV,2022,Vehicles,99
Italy,EV stock,Vans,PHEV,2020,Vehicles,98
Netherlands,EV stock,Buses,PHEV,2024,Vehicles,98
Norway,EV stock,2 and 3 wheelers,BEV,2012,Vehicles,98
Costa Rica,EV stock,Cars,PHEV,2016,Vehicles,97
Greece,EV stock,Cars,BEV,2015,Vehicles,97
Canada,EV stock,Cars,FCEV,2019,Vehicles,96
France,EV stock,Cars,PHEV,2011,Vehicles,96
Norway,EV stock,Trucks,BEV,2021,Vehicles,96
Israel,EV stock,Buses,BEV,2019,Vehicles,94
Netherlands,EV stock,Trucks,BEV,2016,Vehicles,94
Canada,EV stock,2 and 3 wheelers,BEV,2016,Vehicles,93
Sweden,EV stock,Buses,PHEV,2018,Vehicles,93
Sweden,EV stock,Buses,PHEV,2019,Vehicles,93
Sweden,EV stock,Buses,PHEV,2020,Vehicles,93
Sweden,EV stock,Buses,PHEV,2021,Vehicles,93
Sweden,EV stock,Buses,PHEV,2022,Vehicles,93
France,EV stock,Buses,BEV,2012,Vehicles,92
Netherlands,EV stock,Buses,BEV,2015,Vehicles,92
South Africa,EV stock,Vans,BEV,2021,Vehicles,92
Mexico,EV stock,Cars,BEV,2012,Vehicles,91
Poland,EV stock,Cars,FCEV,2021,Vehicles,91
France,EV stock,Cars,FCEV,2018,Vehicles,90
Russia,EV stock,Cars,BEV,2012,Vehicles,90
Russia,EV stock,Cars,BEV,2013,Vehicles,90
Russia,EV stock,Cars,BEV,2014,Vehicles,90
Sweden,EV stock,Buses,BEV,2018,Vehicles,90
Australia,EV stock,Cars,FCEV,2024,Vehicles,89
Greece,EV stock,2 and 3 wheelers,BEV,2014,Vehicles,89
Denmark,EV stock,Buses,BEV,2020,Vehicles,88
Denmark,EV stock,Cars,FCEV,2018,Vehicles,88
Finland,EV stock,2 and 3 wheelers,BEV,2013,Vehicles,88
New Zealand,EV stock,Vans,PHEV,2023,Vehicles,88
United Kingdom,EV stock,Buses,BEV,2011,Vehicles,88
Viet Nam,EV stock,Cars,BEV,2021,Vehicles,88
Finland,EV stock,Buses,BEV,2020,Vehicles,87
Germany,EV stock,Buses,FCEV,2021,Vehicles,87
Costa Rica,EV stock,2 and 3 wheelers,BEV,2016,Vehicles,86
Germany,EV stock,Cars,FCEV,2015,Vehicles,86
Netherlands,EV stock,Vans,BEV,2010,Vehicles,86
Belgium,EV stock,Cars,FCEV,2021,Vehicles,85
Colombia,EV stock,Cars,PHEV,2017,Vehicles,85
Israel,EV stock,Cars,BEV,2011,Vehicles,85
Switzerland,EV stock,Cars,FCEV,2019,Vehicles,84
Switzerland,EV stock,Cars,FCEV,2020,Vehicles,84
Denmark,EV stock,Buses,BEV,2019,Vehicles,83
Denmark,EV stock,Cars,FCEV,2017,Vehicles,83
France,EV stock,Trucks,BEV,2018,Vehicles,83
Iceland,EV stock,2 and 3 wheelers,BEV,2019,Vehicles,83
Netherlands,EV stock,Vans,PHEV,2021,Vehicles,83
Viet Nam,EV stock,Cars,PHEV,2023,Vehicles,83
Thailand,EV stock,Cars,BEV,2017,Vehicles,82
USA,EV stock,Vans,FCEV,2014,Vehicles,81
USA,EV stock,Vans,FCEV,2015,Vehicles,81
USA,EV stock,Vans,FCEV,2016,Vehicles,81
USA,EV stock,Vans,FCEV,2017,Vehicles,81
USA,EV stock,Vans,FCEV,2018,Vehicles,81
USA,EV stock,Vans,FCEV,2019,Vehicles,81
USA,EV stock,Vans,FCEV,2020,Vehicles,81
USA,EV stock,Vans,FCEV,2021,Vehicles,81
USA,EV stock,Vans,FCEV,2022,Vehicles,81
USA,EV stock,Vans,FCEV,2023,Vehicles,81
Australia,EV stock,Cars,PHEV,2012,Vehicles,80
Belgium,EV stock,Buses,PHEV,2015,Vehicles,80
Belgium,EV stock,Cars,FCEV,2022,Vehicles,80
Switzerland,EV stock,Trucks,FCEV,2023,Vehicles,80
Switzerland,EV stock,Trucks,FCEV,2024,Vehicles,80
United Kingdom,EV stock,Buses,BEV,2010,Vehicles,80
Belgium,EV stock,Vans,BEV,2011,Vehicles,79
France,EV stock,Trucks,BEV,2021,Vehicles,79
New Zealand,EV stock,Cars,BEV,2013,Vehicles,79
USA,EV stock,Buses,FCEV,2021,Vehicles,79
France,EV stock,Trucks,BEV,2019,Vehicles,78
Greece,EV stock,Cars,PHEV,2016,Vehicles,78
Israel,EV stock,Buses,BEV,2018,Vehicles,78
China,EV stock,Vans,PHEV,2020,Vehicles,77
Netherlands,EV stock,Trucks,BEV,2015,Vehicles,77
New Zealand,EV stock,Buses,BEV,2018,Vehicles,77
Russia,EV stock,Cars,PHEV,2016,Vehicles,77
Colombia,EV stock,Cars,BEV,2014,Vehicles,76
Netherlands,EV stock,Trucks,BEV,2014,Vehicles,76
Portugal,EV stock,Vans,BEV,2017,Vehicles,76
Spain,EV stock,Cars,BEV,2010,Vehicles,76
Belgium,EV stock,Buses,BEV,2020,Vehicles,75
Brazil,EV stock,Cars,PHEV,2016,Vehicles,75
Portugal,EV stock,2 and 3 wheelers,BEV,2017,Vehicles,75
New Zealand,EV stock,Vans,PHEV,2022,Vehicles,74
Spain,EV stock,Buses,FCEV,2024,Vehicles,74
Netherlands,EV stock,Trucks,PHEV,2023,Vehicles,73
Turkiye,EV stock,2 and 3 wheelers,BEV,2012,Vehicles,73
Canada,EV stock,Vans,FCEV,2023,Vehicles,72
Canada,EV stock,Vans,FCEV,2024,Vehicles,72
France,EV stock,Trucks,BEV,2014,Vehicles,72
Israel,EV stock,2 and 3 wheelers,BEV,2011,Vehicles,72
Spain,EV stock,Buses,PHEV,2023,Vehicles,72
Spain,EV stock,Buses,PHEV,2024,Vehicles,72
France,EV stock,Buses,PHEV,2021,Vehicles,70
France,EV stock,Buses,PHEV,2022,Vehicles,70
